//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
/////////////////////////////////////////////////////////////////////////////
//NPC NAME - 009 - Eo the Craftsman
/////////////////////////////////////////////////////////////////////////////
//Index Type   	Level   Dur   	Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
4	0	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Short Bow
4	1	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Bow
4	2	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Elven Bow
4	3	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Battle Bow
4	16	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Saint Crossbow
4	17	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Celestial Bow
4	19	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Great Reign Crossbow
4	20	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Arrow Viper Bow

4	7	3	255	0	0	0	0 0 0 0 0 0 0 0 0	//Bolt
4	15	3	255	0	0	0	0 0 0 0 0 0 0 0 0	//Arrow

1	4	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Elven Axe
6	16	2	255	1	1	1	0 0 0 0 0 0 0 0 0	//Elemental Shield

14	3	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Large Healing Potion
14	6	0	50	0	0	0	0 0 0 0 0 0 0 0 0	//Large Mana Potion
13	0	0	255	0	0	0	0 0 0 0 0 0 0 0 0	//Guardian Angel
13	1	0	255	0	0	0	0 0 0 0 0 0 0 0 0	//Imp
end
