/////////////////////////////////////////////////////////////////////////////
//NPC NAME - 001 - Liaman the Barmaid
/////////////////////////////////////////////////////////////////////////////
//Index Type   	Level   Dur   	Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14	0	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Apple
14	1	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Small Healing Potion
14	2	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Healing Potion
14	3	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Large Healing Potion
14	4	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Small Mana Potion
14	5	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Mana Potion
14	6	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Large Mana Potion
14	8	1	3	0	0	0	0       0       0       0       255     255     255     255     255	//Antidote




//desativado
//14	23	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Scroll of the Emperor
//14	24	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Broken Sword
//14	68	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Abyssal Eye
//14	25	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Tear of Elf
//14	26	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Soul Shard of Wizard
//14	13	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Soul
//14	16	0	0	0	0	0	0       0       0       0       255     255     255     255     255	//life

end
