//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	5	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Panda (7 Days)
1000	1001	10	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Pet Panda (15 Days)
1000	1002	20	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Panda (30 Days)
1010	1010	5	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Skeleton Transformation Ring (7 Days)
1010	1011	10	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Skeleton Transformation Ring (15 Days)
1010	1012	20	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Skeleton Transformation Ring (30 Days)
1020	1020	5	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Panda Ring (7 Days)
1020	1021	10	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Panda Ring (15 Days)
1020	1022	20	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Panda Ring (30 Days)
1050	1050	3	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Demon (7 Days)
1050	1051	4	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Demon (15 Days)
1050	1052	12	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Demon (30 Days)
1060	1060	3	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Spirit of Guardian (7 Days)
1060	1061	4	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Spirit of Guardian (15 Days)
1060	1062	12	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Spirit of Guardian (30 Days)
1070	1070	2	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Unicorn (7 Days)
1070	1071	3	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Pet Unicorn (15 Days)
1070	1072	10	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Unicorn (30 Days)
1080	1080	4	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Skeleton (7 Days)
1080	1081	8	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Pet Skeleton (15 Days)
1080	1082	18	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Skeleton (30 Days)
1090	1090	5	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Ascension (7 Days)
1090	1091	10	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Seal of Ascension (15 Days)
1090	1092	20	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Seal of Ascension (30 Days)
1100	1100	7	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Wealth (7 Days)
1100	1101	12	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Seal of Wealth (15 Days)
1100	1102	22	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Seal of Wealth (30 Days)
1110	1110	500	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	3600	// Seal of Ascension (1 Hours)
1110	1111	1000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	7200	// Seal of Ascension (2 Hours)
1110	1112	1500	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	10800	// Seal of Ascension (3 Hours)
1110	1113	2500	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	18000	// Seal of Ascension (5 Hours)
1120	1120	4	6719	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Divinity (7 Days)
1120	1121	8	6719	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Seal of Divinity (15 Days)
1120	1122	18	6719	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Seal of Divinity (30 Days)
1130	1130	5	6718	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Healing (7 Days)
1130	1131	10	6718	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Seal of Healing (15 Days)
1130	1132	20	6718	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Seal of Healing (30 Days)
1140	1140	5	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Master Seal of Ascension (7 Days)
1140	1141	10	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Master Seal of Ascension (15 Days)
1140	1142	20	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Master Seal of Ascension (30 Days)
1150	1150	7	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Master Seal of Wealth (7 Days)
1150	1151	12	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Master Seal of Wealth (15 Days)
1150	1152	22	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Master Seal of Wealth (30 Days)
1160	1160	5	6759	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Party EXP Scroll (7 Days)
1160	1161	10	6759	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Party EXP Scroll (15 Days)
1160	1162	20	6759	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Party EXP Scroll (30 Days)
1170	1170	2	6760	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Max AG Boost Aura (7 Days)
1170	1171	6	6760	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Max AG Boost Aura (15 Days)
1170	1172	12	6760	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Max AG Boost Aura (30 Days)
1180	1180	2	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Max SD Boost Aura (7 Days)
1180	1181	6	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	1296000	// Max SD Boost Aura (15 Days)
1180	1182	12	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Max SD Boost Aura (30 Days)
1190	1190	700	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	3600	// Seal of Wealth (1 Hours)
1190	1191	1400	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	7200	// Seal of Wealth (2 Hours)
1190	1192	2100	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	10800	// Seal of Wealth (3 Hours)
