//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//=================================================================================================================//=================================================================================================================
// - ColorName Max: 7
// - AL  = This bot is only for VIP users
// - Class    = 0,1,2	DW,SM,GM  = 16,17,18	DK,BK,BM  = 32,33,34	Elf,ME,HE
// -	      = 48,49,50 MG,DM    = 64,65,66	DL,LE     = 80,81,82	SU,BS,DS
// -	      = 96,98 RF,FM
// - GensFamily (1 Vanert, 2 Duprian)
// - Attention: if or if put 10 letters in the names of the Bot
//=================================================================================================================
//=================================================================================================================
//BotIndex	Class	Enabled	 ColorName	Zen	PCPoint	MaxLvl	   Name		Map	X	Y	Dir
1
0		34	0	    0	       50000000   0	800	"[BUFF] ELF"	0	130	121	3
1		2	0	    0	       50000000	  0	800	"[BUFF] SM"	0	122	115	3
2		18	0	    0	       50000000	  0	800	"[BUFF] BM"	0	130	146	2
3		82	0	    0	       50000000	  0	800	"[BUFF] SUM"	0	152	140	1
4		66	0	    0	       50000000	  0	800	"[BUFF] DL"	0	149	115	2
5		98	0	    0	       50000000	  0	800	"[BUFF] RF"	0	122	143	2
end
//=================================================================================================================
//=================================================================================================================
// -   Bot	Only	Active!		GensReq		Gens
// -   Index	_AL	ReqGens		Contribution	Family
2
	0	0	   0	  	100		0
	1	0	   0	  	100		0
	2	0	   0	  	100		0
	3	0	   0	  	100		0
	4	0	   0	  	100		0
	5	0	   0	  	100		0
end
//=================================================================================================================
//=================================================================================================================
// - 0 = Sword	1 = Shield	2 = Helm	3 = Armor	
// - 4 = Pants	5 = Gloves	6 = Boots	7 = Wings	8 = Pet


// - BotIndex	Slot	Type	Index	Level	Opt
3
//ME===============================================================================================================
	0	2	7	49	15	15
	0	3	8	49	15	15
	0	4	9	49	15	15
	0	5	10	49	15	15
	0	6	11	49	15	15
	0	7	12	38	15	15
	//0	8	13	65	0	0
//SM===============================================================================================================
	1	2	7	52	15	15
	1	3	8	52	15	15
	1	4	9	52	15	15
	1	5	10	52	15	15
	1	6	11	52	15	15
	1	7	12	37	15	15
	//1	8	13	0	0	0
//BM===============================================================================================================
	2	2	7	46	15	15
	2	3	8	46	15	15
	2	4	9	46	15	15
	2	5	11	46	15	15
	2	6	11	46	15	15
	2	7	12	36	15	15
	//2	8	13	0	0	0
//SU===============================================================================================================
	3	2	7	44	15	15
	3	3	8	44	15	15
	3	4	9	44	15	15
	3	5	10	44	15	15
	3	6	11	44	15	15
	3	7	12	43	15	15
	//3	8	13	0	0	0
//DL===============================================================================================================
	4	2	7	51	15	15
	4	3	8	51	15	15
	4	4	9	51	15	15
	4	5	10	51	15	15
	4	6	11	51	15	15
	4	7	12	40	15	15
	//4	8	13	0	0	0
//RF===============================================================================================================
	5	2	7	73	15	15
	5	3	8	73	15	15
	5	4	9	73	15	15
	5	6	11	73	15	15
	5	7	12	50	15	15
	//5	8	13	0	0	0
	5	0	0	35	15	15
	5	1	0	35	15	15
end
//=================================================================================================================
//=================================================================================================================
// - 28	(Greater Damage), 27 (Greater Defense),  16 (Greater Mana Shield),  64 (Critical Damage)
// - 48	(Greater Life), 217 (Reflect), 82 (Magic Circle), 129 (Greater Ignore Defense Rate), 130 (Fitness)
// -
// - MAX SKILLS PER BOT = 5
// - BotIndex	Skill		Min	%PowerSkill (% aumento da skill)
4
	0	27		60	50	//Buffer ELF
	0	28		60	50	//Buffer ELF
	1	16		60	50	//Buffer SOUL MASTER
	1	82		60	50	//Buffer SOUL MASTER
	2	48		60	50	//Buffer BLADE KNIGHT
	3	217		60	50	//Buffer SUMMONER
	4	64		60	50	//Buffer DARK LORD
	5	129		60	50	//Buffer RAGE FIGHT
	5	130		60	50	//Buffer RAGE FIGHT
end
//=================================================================================================================
//=================================================================================================================
